Date,Quantity,UnitPrice,ShippingAddress,ItemsInCart,TotalPrice,Feature_CartDensity,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponCode_SAVE10,CouponCode_WINTER15
2023-01-04,5.0,570.62,928 Main St,7.0,2853.1,1.4,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
2024-08-23,2.0,151.35,823 Main St,3.0,302.7,1.5,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
2024-02-27,5.0,550.68,512 Main St,8.0,2753.4,1.6,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-10-15,1.0,273.19,275 Main St,5.0,273.19,5.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
2025-05-08,4.0,626.01,668 Main St,8.0,2504.04,2.0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
2023-10-23,2.0,245.86,934 Main St,4.0,491.72,2.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
2025-06-17,1.0,664.42,986 Main St,6.0,664.42,6.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
2023-05-12,5.0,149.55,706 Main St,9.0,747.75,1.8,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
2025-04-02,2.0,134.28,904 Main St,2.0,268.56,1.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2023-11-21,4.0,509.38,102 Main St,6.0,2037.52,1.5,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
2023-12-29,5.0,625.97,333 Main St,9.0,3129.85,1.8,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True
2024-02-17,3.0,49.14,831 Main St,7.0,147.42,2.3333333333333335,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2024-10-15,2.0,180.5,179 Main St,6.0,361.0,3.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
2023-08-30,3.0,201.49,903 Main St,4.0,604.47,1.3333333333333333,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
2023-03-27,2.0,393.33,980 Main St,3.0,786.66,1.5,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False
